Date,Currency Code,Rate
2017-05-01,AUD,1.028900
2017-05-01,BRL,0.430100
2017-05-01,CNY,0.198200
2017-05-01,EUR,1.490200
2017-05-01,HKD,0.175632
2017-05-01,INR,0.021250
2017-05-01,IDR,0.000102
2017-05-01,JPY,0.012230
2017-05-01,MYR,0.314700
2017-05-01,MXN,0.072750
2017-05-01,NZD,0.943600
2017-05-01,NOK,0.159200
2017-05-01,PEN,0.421200
2017-05-01,RUB,0.024000
2017-05-01,SAR,0.364300
2017-05-01,SGD,0.978400
2017-05-01,ZAR,0.102190
2017-05-01,KRW,0.001202
2017-05-01,SEK,0.154700
2017-05-01,CHF,1.373100
2017-05-01,TWD,0.045210
2017-05-01,THB,0.039490
2017-05-01,TRY,0.384500
2017-05-01,GBP,1.764400
2017-05-01,USD,1.366000
2017-05-01,VND,0.000060
2017-05-02,AUD,1.032100
2017-05-02,BRL,0.433400
2017-05-02,CNY,0.199000
2017-05-02,EUR,1.497100
2017-05-02,HKD,0.176318
2017-05-02,INR,0.021380
2017-05-02,IDR,0.000103
2017-05-02,JPY,0.012240
2017-05-02,MYR,0.317000
2017-05-02,MXN,0.073060
2017-05-02,NZD,0.950000
2017-05-02,NOK,0.159500
2017-05-02,PEN,0.422500
2017-05-02,RUB,0.024050
2017-05-02,SAR,0.365800
2017-05-02,SGD,0.983500
2017-05-02,ZAR,0.102970
2017-05-02,KRW,0.001215
2017-05-02,SEK,0.155500
2017-05-02,CHF,1.381300
2017-05-02,TWD,0.045700
2017-05-02,THB,0.039770
2017-05-02,TRY,0.388700
2017-05-02,GBP,1.772800
2017-05-02,USD,1.372000
2017-05-02,VND,0.000060
2017-05-03,AUD,1.022000
2017-05-03,BRL,0.435400
2017-05-03,CNY,0.198800
2017-05-03,EUR,1.496300
2017-05-03,HKD,0.176236
2017-05-03,INR,0.021370
2017-05-03,IDR,0.000103
2017-05-03,JPY,0.012200
2017-05-03,MYR,0.317500
2017-05-03,MXN,0.072910
2017-05-03,NZD,0.946900
2017-05-03,NOK,0.159100
2017-05-03,PEN,0.422000
2017-05-03,RUB,0.023940
2017-05-03,SAR,0.365700
2017-05-03,SGD,0.982800
2017-05-03,ZAR,0.102610
2017-05-03,KRW,0.001211
2017-05-03,SEK,0.155400
2017-05-03,CHF,1.383100
2017-05-03,TWD,0.045630
2017-05-03,THB,0.039720
2017-05-03,TRY,0.388000
2017-05-03,GBP,1.770100
2017-05-03,USD,1.371400
2017-05-03,VND,0.000060
2017-05-04,AUD,1.016700
2017-05-04,BRL,0.431700
2017-05-04,CNY,0.199300
2017-05-04,EUR,1.505700
2017-05-04,HKD,0.176600
2017-05-04,INR,0.021400
2017-05-04,IDR,0.000103
2017-05-04,JPY,0.012200
2017-05-04,MYR,0.317600
2017-05-04,MXN,0.072280
2017-05-04,NZD,0.942100
2017-05-04,NOK,0.158400
2017-05-04,PEN,0.420400
2017-05-04,RUB,0.023620
2017-05-04,SAR,0.366500
2017-05-04,SGD,0.981200
2017-05-04,ZAR,0.101090
2017-05-04,KRW,0.001210
2017-05-04,SEK,0.155600
2017-05-04,CHF,1.388700
2017-05-04,TWD,0.045560
2017-05-04,THB,0.039680
2017-05-04,TRY,0.386500
2017-05-04,GBP,1.774300
2017-05-04,USD,1.374300
2017-05-04,VND,0.000060
2017-05-05,AUD,1.015700
2017-05-05,BRL,0.431500
2017-05-05,CNY,0.198600
2017-05-05,EUR,1.506300
2017-05-05,HKD,0.176156
2017-05-05,INR,0.021320
2017-05-05,IDR,0.000103
2017-05-05,JPY,0.012180
2017-05-05,MYR,0.316100
2017-05-05,MXN,0.072130
2017-05-05,NZD,0.947500
2017-05-05,NOK,0.159200
2017-05-05,PEN,0.418800
2017-05-05,RUB,0.023560
2017-05-05,SAR,0.365600
2017-05-05,SGD,0.976000
2017-05-05,ZAR,0.101510
2017-05-05,KRW,0.001205
2017-05-05,SEK,0.155800
2017-05-05,CHF,1.388000
2017-05-05,TWD,0.045400
2017-05-05,THB,0.039530
2017-05-05,TRY,0.386300
2017-05-05,GBP,1.776700
2017-05-05,USD,1.371200
2017-05-05,VND,0.000060
2017-05-08,AUD,1.012500
2017-05-08,BRL,0.429000
2017-05-08,CNY,0.198500
2017-05-08,EUR,1.498500
2017-05-08,HKD,0.176051
2017-05-08,INR,0.021300
2017-05-08,IDR,0.000103
2017-05-08,JPY,0.012140
2017-05-08,MYR,0.316000
2017-05-08,MXN,0.071690
2017-05-08,NZD,0.947600
2017-05-08,NOK,0.158600
2017-05-08,PEN,0.417500
2017-05-08,RUB,0.023510
2017-05-08,SAR,0.365400
2017-05-08,SGD,0.975400
2017-05-08,ZAR,0.100870
2017-05-08,KRW,0.001209
2017-05-08,SEK,0.155100
2017-05-08,CHF,1.374100
2017-05-08,TWD,0.045390
2017-05-08,THB,0.039570
2017-05-08,TRY,0.383400
2017-05-08,GBP,1.773800
2017-05-08,USD,1.370500
2017-05-08,VND,0.000060
2017-05-09,AUD,1.008500
2017-05-09,BRL,0.430900
2017-05-09,CNY,0.198700
2017-05-09,EUR,1.493900
2017-05-09,HKD,0.176357
2017-05-09,INR,0.021230
2017-05-09,IDR,0.000103
2017-05-09,JPY,0.012030
2017-05-09,MYR,0.315800
2017-05-09,MXN,0.071570
2017-05-09,NZD,0.946400
2017-05-09,NOK,0.158100
2017-05-09,PEN,0.417400
2017-05-09,RUB,0.023520
2017-05-09,SAR,0.366000
2017-05-09,SGD,0.972600
2017-05-09,ZAR,0.100710
2017-05-09,KRW,0.001207
2017-05-09,SEK,0.154400
2017-05-09,CHF,1.363800
2017-05-09,TWD,0.045320
2017-05-09,THB,0.039470
2017-05-09,TRY,0.381000
2017-05-09,GBP,1.775100
2017-05-09,USD,1.372800
2017-05-09,VND,0.000060
2017-05-10,AUD,1.008500
2017-05-10,BRL,0.432600
2017-05-10,CNY,0.198100
2017-05-10,EUR,1.486000
2017-05-10,HKD,0.175590
2017-05-10,INR,0.021180
2017-05-10,IDR,0.000102
2017-05-10,JPY,0.011990
2017-05-10,MYR,0.314500
2017-05-10,MXN,0.071930
2017-05-10,NZD,0.949100
2017-05-10,NOK,0.158400
2017-05-10,PEN,0.415700
2017-05-10,RUB,0.023750
2017-05-10,SAR,0.364500
2017-05-10,SGD,0.969300
2017-05-10,ZAR,0.101470
2017-05-10,KRW,0.001206
2017-05-10,SEK,0.153300
